keycontagemfarmacias;qtdfarmacias;nomecidadecontagem;ufcontagem;codigoibge
337;8;Salesópolis;SP;3545001
338;8;Piratininga;SP;3539400
339;8;Tabatinga;SP;3552700
340;8;Sarapuí;SP;3551108
341;8;Itapuí;SP;3522901
342;8;Terra Roxa;SP;3554409
343;8;Tarumã;SP;3553955
344;8;Uchoa;SP;3555604
345;7;Américo de Campos;SP;3501806
346;7;Iracemápolis;SP;3521408
347;7;Cananéia;SP;3509908
348;7;Paulo de Faria;SP;3536604
349;7;Panorama;SP;3535408
350;7;Pacaembu;SP;3534906
351;7;Cosmorama;SP;3512902
352;7;Iaras;SP;3519253
353;7;Mirante do Paranapanema;SP;3530201
354;7;Roseira;SP;3544301
355;7;Pirapora do Bom Jesus;SP;3539103
356;7;Presidente Bernardes;SP;3541208
357;7;Riolândia;SP;3544202
358;7;Itatinga;SP;3523503
359;7;Santo Antônio da Alegria;SP;3547908
360;7;Serra Azul;SP;3551405
361;7;Avanhandava;SP;3504404
362;7;Águas de Santa Bárbara;SP;3500550
363;7;Bilac;SP;3506409
364;7;Sud Mennucci;SP;3552304
365;7;Mendonça;SP;3529500
366;7;São Simão;SP;3550902
367;7;São Sebastião da Grama;SP;3550803
368;6;Jaborandi;SP;3524204
369;6;Juquiá;SP;3526100
370;6;Palmeira d´Oeste;SP;3535200
371;6;Chavantes;SP;3557204
372;6;Riversul;SP;3543501
373;6;Águas da Prata;SP;3500402
374;6;Lindóia;SP;3527009
375;6;Boa Esperança do Sul;SP;3506706
376;6;Joanópolis;SP;3525508
377;6;Planalto;SP;3539608
378;6;Nova Campina;SP;3532827
379;6;Icém;SP;3519808
380;6;Itirapina;SP;3523602
381;6;Pereiras;SP;3537503
382;6;Vargem;SP;3556354
383;6;Getulina;SP;3517000
384;6;Rinópolis;SP;3543808
385;6;Palmares Paulista;SP;3535101
386;6;Herculândia;SP;3519006
387;6;Gália;SP;3516606
388;6;Euclides da Cunha Paulista;SP;3515350
389;6;Campina do Monte Alegre;SP;3509452
390;6;Porangaba;SP;3540507
391;5;Itobi;SP;3523800
392;5;Nipoã;SP;3532702
393;5;São João de Iracema;SP;3549250
394;5;Bananal;SP;3504909
395;5;Ariranha;SP;3503703
396;5;Arealva;SP;3503406
397;5;Estiva Gerbi;SP;3557303
398;5;Quintana;SP;3542008
399;5;Urânia;SP;3555802
400;5;Aramina;SP;3503000
401;5;Torrinha;SP;3554706
402;5;Sales Oliveira;SP;3544905
403;5;Suzanápolis;SP;3552551
404;5;Luís Antônio;SP;3527603
405;5;Taiaçu;SP;3553104
406;5;Sete Barras;SP;3551801
407;5;Bofete;SP;3506904
408;5;Bom Sucesso de Itararé;SP;3507159
409;5;São Pedro do Turvo;SP;3550506
410;5;Cássia dos Coqueiros;SP;3510906
411;5;Catiguá;SP;3511201
412;5;Igaratá;SP;3520202
413;5;Santa Albertina;SP;3545704
414;5;Pardinho;SP;3536109
415;5;Irapuru;SP;3521606
416;5;Nuporanga;SP;3533601
417;5;Paraibuna;SP;3535606
418;5;Nova Europa;SP;3532900
419;5;Fernando Prestes;SP;3515608
420;5;Clementina;SP;3511904
421;5;Salto Grande;SP;3545407
422;5;Eldorado;SP;3514809
423;5;Gastão Vidigal;SP;3516804
424;5;Potim;SP;3540754
425;5;Dourado;SP;3514304
426;5;Braúna;SP;3507704
427;5;Oriente;SP;3534104
428;4;Ipiguá;SP;3521150
429;4;Itapirapuã Paulista;SP;3522653
430;4;Lagoinha;SP;3526308
431;4;Tarabai;SP;3553906
432;4;Areiópolis;SP;3503604
433;4;Macaubal;SP;3528106
434;4;Adolfo;SP;3500204
435;4;Jaci;SP;3524501
436;4;Barbosa;SP;3505104
437;4;Itariri;SP;3523305
438;4;São Lourenço da Serra;SP;3549953
439;4;Itirapuã;SP;3523701
440;4;Santópolis do Aguapeí;SP;3548401
441;4;Nova Aliança;SP;3532801
442;4;Paraíso;SP;3535705
443;4;Guareí;SP;3518503
444;4;Iacri;SP;3519204
445;4;Orindiúva;SP;3534203
446;4;Santa Branca;SP;3546009
447;4;Inúbia Paulista;SP;3520806
448;4;Ouro Verde;SP;3534807
449;4;Cabrália Paulista;SP;3508306
450;4;Neves Paulista;SP;3532504
451;4;Santo Antônio do Pinhal;SP;3548203
452;4;Morungaba;SP;3532009
453;4;Santo Antônio do Jardim;SP;3548104
454;4;Campos Novos Paulista;SP;3509809
455;4;Canas;SP;3509957
456;4;Novais;SP;3533254
457;4;Nova Luzitânia;SP;3533304
458;4;Dumont;SP;3514601
459;4;Glicério;SP;3517109
460;4;Guaraçaí;SP;3517802
461;4;Rincão;SP;3543709
462;4;Piacatu;SP;3537701
463;4;Colômbia;SP;3512100
464;4;Guarani d´Oeste;SP;3518008
465;4;Cristais Paulista;SP;3513207
466;4;Populina;SP;3540408
467;4;Queiroz;SP;3541802
468;4;Reginópolis;SP;3542503
469;4;Rafard;SP;3542107
470;4;Anhumas;SP;3502408
471;4;Aparecida d´Oeste;SP;3502606
472;4;Vista Alegre do Alto;SP;3556909
473;4;Altair;SP;3500907
474;3;Alfredo Marcondes;SP;3500808
475;3;Alto Alegre;SP;3501103
476;3;Álvaro de Carvalho;SP;3501400
477;3;Anhembi;SP;3502309
478;3;João Ramalho;SP;3525607
479;3;Pontes Gestal;SP;3540309
480;3;Pontalinda;SP;3540259
481;3;Emilianópolis;SP;3515129
482;3;Ubarana;SP;3555356
483;3;Turmalina;SP;3555307
484;3;Três Fronteiras;SP;3554904
485;3;Echaporã;SP;3514700
486;3;Floreal;SP;3515905
487;3;Poloni;SP;3539905
488;3;Platina;SP;3539707
489;3;Pongaí;SP;3540101
490;3;Cruzália;SP;3513306
491;3;Restinga;SP;3542701
492;3;Monte Alegre do Sul;SP;3531209
493;3;Nantes;SP;3532157
494;3;Monteiro Lobato;SP;3531704
495;3;Santa Maria da Serra;SP;3547007
496;3;Santa Ernestina;SP;3546504
497;3;Santo Expedito;SP;3548302
498;3;Itaóca;SP;3522158
499;3;Caiuá;SP;3509106
500;3;Ocauçu;SP;3533700
501;3;Coronel Macedo;SP;3512605
502;3;Indiaporã;SP;3520707
503;3;Paranapuã;SP;3535903
504;3;Coroados;SP;3512506
505;3;Guzolândia;SP;3518909
506;3;Onda Verde;SP;3534005
507;3;Pedra Bela;SP;3536802
508;3;Paulicéia;SP;3536406
509;3;Saltinho;SP;3545159
510;3;Parisi;SP;3536257
511;3;Guaiçara;SP;3517208
512;3;Guaimbê;SP;3517307
513;3;Rifaina;SP;3543600
514;3;Ribeirão do Sul;SP;3543204
515;3;Ribeirão Corrente;SP;3543105
516;3;Dobrada;SP;3514007
517;3;Itapura;SP;3523008
518;3;Barão de Antonina;SP;3505005
519;3;Barra do Chapéu;SP;3505351
520;3;Silveiras;SP;3552007
521;3;Arandu;SP;3503109
522;3;Mariápolis;SP;3528908
523;3;Marabá Paulista;SP;3528700
524;3;Marapoama;SP;3528858
525;3;Taiúva;SP;3553203
526;3;Macedônia;SP;3528205
527;3;Lutécia;SP;3527900
528;3;Tapiraí;SP;3553500
529;3;Luiziânia;SP;3527702
530;3;Lavínia;SP;3526506
531;3;Lupércio;SP;3527801
532;3;Narandiba;SP;3532207
533;3;Buritizal;SP;3508207
534;3;Meridiano;SP;3529609
535;3;São José da Bela Vista;SP;3549508
536;3;São Luís do Paraitinga;SP;3550001
537;3;Natividade da Serra;SP;3532306
538;3;Boracéia;SP;3507308
539;2;Torre de Pedra;SP;3554656
540;2;Queluz;SP;3541901
541;2;Álvares Florence;SP;3501202
542;2;Turiúba;SP;3555208
543;2;Elisiário;SP;3514924
544;2;Vitória Brasil;SP;3556958
545;2;Analândia;SP;3502002
546;2;Timburi;SP;3554607
547;2;Florínia;SP;3516101
548;2;Gabriel Monteiro;SP;3516507
549;2;Avaí;SP;3504305
550;2;Taquaral;SP;3553658
551;2;Taquarivaí;SP;3553856
552;2;Tejupá;SP;3554201
553;2;Júlio Mesquita;SP;3525805
554;2;Magda;SP;3528304
555;2;Sebastianópolis do Sul;SP;3551306
556;2;Redenção da Serra;SP;3542305
557;2;Presidente Alves;SP;3541109
558;2;Ubirajara;SP;3555505
559;2;Tuiuti;SP;3554953
560;2;Embaúba;SP;3514957
561;2;Pratânia;SP;3541059
562;2;Espírito Santo do Turvo;SP;3515194
563;2;Ribeira;SP;3542800
564;2;Pedro de Toledo;SP;3537206
565;2;Motuca;SP;3532058
566;2;Monte Castelo;SP;3531605
567;2;Caiabu;SP;3508900
568;2;Santana da Ponte Pensa;SP;3547205
569;2;Murutinga do Sul;SP;3532108
570;2;Sabino;SP;3544608
571;2;Pedranópolis;SP;3536901
572;2;Gavião Peixoto;SP;3516853
573;2;Óleo;SP;3533809
574;2;Sandovalina;SP;3545506
575;2;Salmourão;SP;3545100
576;2;Rubinéia;SP;3544509
577;2;Pedrinhas Paulista;SP;3537156
578;2;Guarantã;SP;3518107
579;2;Dolcinópolis;SP;3514205
580;2;Ribeirão dos Índios;SP;3543238
581;2;Alambari;SP;3500758
582;2;União Paulista;SP;3555703
583;2;Águas de São Pedro;SP;3500600
584;2;Zacarias;SP;3557154
585;2;Aspásia;SP;3503950
586;2;Areias;SP;3503505
587;2;Lavrinhas;SP;3526605
588;2;Mesópolis;SP;3529658
589;2;Bento de Abreu;SP;3506201
590;2;Iporanga;SP;3521200
591;2;Ipeúna;SP;3521101
592;2;Mira Estrela;SP;3530003
593;2;Lucianópolis;SP;3527504
594;2;Nova Independência;SP;3533205
595;2;Santa Lúcia;SP;3546900
596;2;Santa Rita d´Oeste;SP;3547403
597;2;Canitar;SP;3510153
598;2;Cândido Rodrigues;SP;3510104
599;2;Oscar Bressane;SP;3534500
600;2;Santa Cruz da Conceição;SP;3546207
601;2;Nova Canaã Paulista;SP;3532843
602;2;Indiana;SP;3520608
603;2;Piquerobi;SP;3538303
604;2;Mirassolândia;SP;3530409
605;2;Jambeiro;SP;3524907
606;2;Jeriquara;SP;3525409
607;2;Marinópolis;SP;3529104
608;2;São José do Barreiro;SP;3549607
609;2;Monções;SP;3531001
610;2;São João das Duas Pontes;SP;3549201
611;2;Borebi;SP;3507456
612;2;Brejo Alegre;SP;3507753
613;2;Taciba;SP;3552908
614;2;Barra do Turvo;SP;3505401
615;1;Quadra;SP;3541653
616;1;Dirce Reis;SP;3513850
617;1;Estrela do Norte;SP;3515301
618;1;Alvinlândia;SP;3501509
619;1;Uru;SP;3555901
620;1;Pracinha;SP;3540853
621;1;Flora Rica;SP;3515806
622;1;Fernão;SP;3515657
623;1;Sagres;SP;3544707
624;1;Ribeirão Grande;SP;3543253
625;1;Paulistânia;SP;3536570
626;1;Rubiácea;SP;3544400
627;1;Nova Castilho;SP;3532868
628;1;Nova Guataporanga;SP;3533106
629;1;Itaju;SP;3522000
630;1;Santa Salete;SP;3547650
631;1;Santa Mercedes;SP;3547106
632;1;Corumbataí;SP;3512704
633;1;Santa Cruz da Esperança;SP;3546256
634;1;Santa Clara d´Oeste;SP;3546108
635;1;São João do Pau d´Alho;SP;3549300
636;1;São Francisco;SP;3549003
637;1;Sarutaiá;SP;3551207
638;1;Borá;SP;3507209
639;1;Balbinos;SP;3504701
640;1;Mombuca;SP;3530904
641;1;Lourdes;SP;3527256
642;1;Jumirim;SP;3525854
643;1;Arco-Íris;SP;3503356
644;1;Arapeí;SP;3503158
