keycidadepotencial;nomecidadepotencial;ufcidadepotencial;codigoibge
410;Paulicéia;SP;3536406
411;Paulínia;SP;3536505
412;Paulistânia;SP;3536570
413;Paulo de Faria;SP;3536604
414;Pederneiras;SP;3536703
415;Pedra Bela;SP;3536802
416;Pedranópolis;SP;3536901
417;Pedregulho;SP;3537008
418;Pedreira;SP;3537107
419;Pedrinhas Paulista;SP;3537156
420;Pedro de Toledo;SP;3537206
421;Penápolis;SP;3537305
422;Pereira Barreto;SP;3537404
423;Pereiras;SP;3537503
424;Peruíbe;SP;3537602
425;Piacatu;SP;3537701
426;Piedade;SP;3537800
427;Pilar do Sul;SP;3537909
428;Pindamonhangaba;SP;3538006
429;Pindorama;SP;3538105
430;Pinhalzinho;SP;3538204
431;Piquerobi;SP;3538303
432;Piquete;SP;3538501
433;Piracaia;SP;3538600
434;Piracicaba;SP;3538709
435;Piraju;SP;3538808
436;Pirajuí;SP;3538907
437;Pirangi;SP;3539004
438;Pirapora do Bom Jesus;SP;3539103
439;Pirapozinho;SP;3539202
440;Pirassununga;SP;3539301
441;Piratininga;SP;3539400
442;Pitangueiras;SP;3539509
443;Planalto;SP;3539608
444;Platina;SP;3539707
445;Poá;SP;3539806
446;Poloni;SP;3539905
447;Pompéia;SP;3540002
448;Pongaí;SP;3540101
449;Pontal;SP;3540200
450;Pontalinda;SP;3540259
451;Pontes Gestal;SP;3540309
452;Populina;SP;3540408
453;Porangaba;SP;3540507
454;Porto Feliz;SP;3540606
455;Porto Ferreira;SP;3540705
456;Potim;SP;3540754
457;Potirendaba;SP;3540804
458;Pracinha;SP;3540853
459;Pradópolis;SP;3540903
460;Praia Grande;SP;3541000
461;Pratânia;SP;3541059
462;Presidente Alves;SP;3541109
463;Presidente Bernardes;SP;3541208
464;Presidente Epitácio;SP;3541307
465;Presidente Prudente;SP;3541406
466;Presidente Venceslau;SP;3541505
467;Promissão;SP;3541604
468;Quadra;SP;3541653
469;Quatá;SP;3541703
470;Queiroz;SP;3541802
471;Queluz;SP;3541901
472;Quintana;SP;3542008
473;Rafard;SP;3542107
474;Rancharia;SP;3542206
475;Redenção da Serra;SP;3542305
476;Regente Feijó;SP;3542404
477;Reginópolis;SP;3542503
478;Registro;SP;3542602
479;Restinga;SP;3542701
480;Ribeira;SP;3542800
481;Ribeirão Bonito;SP;3542909
482;Ribeirão Branco;SP;3543006
483;Ribeirão Corrente;SP;3543105
484;Ribeirão do Sul;SP;3543204
485;Ribeirão dos Índios;SP;3543238
486;Ribeirão Grande;SP;3543253
487;Ribeirão Pires;SP;3543303
488;Ribeirão Preto;SP;3543402
489;Riversul;SP;3543501
490;Rifaina;SP;3543600
491;Rincão;SP;3543709
492;Rinópolis;SP;3543808
493;Rio Claro;SP;3543907
494;Rio das Pedras;SP;3544004
495;Rio Grande da Serra;SP;3544103
496;Riolândia;SP;3544202
497;Rosana;SP;3544251
498;Roseira;SP;3544301
499;Rubiácea;SP;3544400
500;Rubinéia;SP;3544509
501;Sabino;SP;3544608
502;Sagres;SP;3544707
503;Sales;SP;3544806
504;Sales Oliveira;SP;3544905
505;Salesópolis;SP;3545001
506;Salmourão;SP;3545100
507;Saltinho;SP;3545159
508;Salto;SP;3545209
509;Salto de Pirapora;SP;3545308
510;Salto Grande;SP;3545407
511;Sandovalina;SP;3545506
512;Santa Adélia;SP;3545605
513;Santa Albertina;SP;3545704
514;Santa Bárbara d'Oeste;SP;3545803
515;Santa Branca;SP;3546009
516;Santa Clara d'Oeste;SP;3546108
517;Santa Cruz da Conceição;SP;3546207
518;Santa Cruz da Esperança;SP;3546256
519;Santa Cruz das Palmeiras;SP;3546306
520;Santa Cruz do Rio Pardo;SP;3546405
521;Santa Ernestina;SP;3546504
522;Santa Fé do Sul;SP;3546603
523;Santa Gertrudes;SP;3546702
524;Santa Isabel;SP;3546801
525;Santa Lúcia;SP;3546900
