keypib;valorpib;anopib;setorpib;nomecidadepib;ufpib;codigoibge
290;2927962000;2010;Indústria;JERIQUARA;SP;3525409
291;;2010;Indústria;JOANÓPOLIS;SP;3525508
292;4609151000;2010;Indústria;JOÃO RAMALHO;SP;3525607
293;;2010;Indústria;JOSÉ BONIFÁCIO;SP;3525706
294;1391947000;2010;Indústria;JÚLIO MESQUITA;SP;3525805
295;0;2010;Indústria;JUMIRIM;SP;3525854
296;6531719000;2010;Indústria;JUNDIAÍ;SP;3525904
297;;2010;Indústria;JUNQUEIRÓPOLIS;SP;3526001
298;;2010;Indústria;JUQUIÁ;SP;3526100
299;0;2010;Indústria;JUQUITIBA;SP;3526209
300;;2010;Indústria;LAGOINHA;SP;3526308
301;;2010;Indústria;LARANJAL PAULISTA;SP;3526407
302;3727278000;2010;Indústria;LAVÍNIA;SP;3526506
303;0;2010;Indústria;LAVRINHAS;SP;3526605
304;;2010;Indústria;LEME;SP;3526704
305;;2010;Indústria;LENÇÓIS PAULISTA;SP;3526803
306;2770975000;2010;Indústria;LIMEIRA;SP;3526902
307;0;2010;Indústria;LINDÓIA;SP;3527009
308;;2010;Indústria;LINS;SP;3527108
309;420566000;2010;Indústria;LORENA;SP;3527207
310;1535406000;2010;Indústria;LOURDES;SP;3527256
311;2318830000;2010;Indústria;LOUVEIRA;SP;3527306
312;;2010;Indústria;LUCÉLIA;SP;3527405
313;1343423000;2010;Indústria;LUCIANÓPOLIS;SP;3527504
314;;2010;Indústria;LUÍS ANTÔNIO;SP;3527603
315;0;2010;Indústria;LUIZIÂNIA;SP;3527702
316;2520051000;2010;Indústria;LUPÉRCIO;SP;3527801
317;3595819000;2010;Indústria;LUTÉCIA;SP;3527900
318;;2010;Indústria;MACATUBA;SP;3528007
319;6197443000;2010;Indústria;MACAUBAL;SP;3528106
320;9233667000;2010;Indústria;MACEDÔNIA;SP;3528205
321;2992078000;2010;Indústria;MAGDA;SP;3528304
322;;2010;Indústria;MAIRINQUE;SP;3528403
323;0;2010;Indústria;MAIRIPORÃ;SP;3528502
324;12490000;2010;Indústria;MANDURI;SP;3528601
325;;2010;Indústria;MARABÁ PAULISTA;SP;3528700
326;;2010;Indústria;MARACAÍ;SP;3528809
327;0;2010;Indústria;MARAPOAMA;SP;3528858
328;2652785000;2010;Indústria;MARIÁPOLIS;SP;3528908
329;0;2010;Indústria;MARÍLIA;SP;3529005
330;0;2010;Indústria;MARINÓPOLIS;SP;3529104
331;;2010;Indústria;MARTINÓPOLIS;SP;3529203
332;;2010;Indústria;MATÃO;SP;3529302
333;3607277000;2010;Indústria;MAUÁ;SP;3529401
334;0;2010;Indústria;MENDONÇA;SP;3529500
335;;2010;Indústria;MERIDIANO;SP;3529609
336;2589087000;2010;Indústria;MESÓPOLIS;SP;3529658
337;;2010;Indústria;MIGUELÓPOLIS;SP;3529708
338;;2010;Indústria;MINEIROS DO TIETÊ;SP;3529807
339;1769789000;2010;Indústria;MIRA ESTRELA;SP;3530003
340;;2010;Indústria;MIRACATU;SP;3529906
341;;2010;Indústria;MIRANDÓPOLIS;SP;3530102
342;;2010;Indústria;MIRANTE DO PARANAPANEMA;SP;3530201
343;;2010;Indústria;MIRASSOL;SP;3530300
344;2152075000;2010;Indústria;MIRASSOLÂNDIA;SP;3530409
345;;2010;Indústria;MOCOCA;SP;3530508
