ValorPIB,SetorPIB,AnoPIB,NomeCidadePIB,UFPIB,CodigoIBGE
0,Indústria,2010,ITAQUAQUECETUBA,SP,3523107
,Indústria,2010,ITARARÉ,SP,3523206
7201834000,Indústria,2010,ITARIRI,SP,3523305
1219438000,Indústria,2010,ITATIBA,SP,3523404
,Indústria,2010,ITATINGA,SP,3523503
,Indústria,2010,ITIRAPINA,SP,3523602
2865512000,Indústria,2010,ITIRAPUÃ,SP,3523701
4344658000,Indústria,2010,ITOBI,SP,3523800
1460800000,Indústria,2010,ITU,SP,3523909
,Indústria,2010,ITUPEVA,SP,3524006
,Indústria,2010,ITUVERAVA,SP,3524105
7783576000,Indústria,2010,JABORANDI,SP,3524204
,Indústria,2010,JABOTICABAL,SP,3524303
2883293000,Indústria,2010,JACAREÍ,SP,3524402
,Indústria,2010,JACI,SP,3524501
,Indústria,2010,JACUPIRANGA,SP,3524600
1061455000,Indústria,2010,JAGUARIÚNA,SP,3524709
0,Indústria,2010,JALES,SP,3524808
0,Indústria,2010,JAMBEIRO,SP,3524907
0,Indústria,2010,JANDIRA,SP,3525003
,Indústria,2010,JARDINÓPOLIS,SP,3525102
,Indústria,2010,JARINU,SP,3525201
0,Indústria,2010,JAÚ,SP,3525300
2927962000,Indústria,2010,JERIQUARA,SP,3525409
,Indústria,2010,JOANÓPOLIS,SP,3525508
4609151000,Indústria,2010,JOÃO RAMALHO,SP,3525607
,Indústria,2010,JOSÉ BONIFÁCIO,SP,3525706
1391947000,Indústria,2010,JÚLIO MESQUITA,SP,3525805
0,Indústria,2010,JUMIRIM,SP,3525854
6531719000,Indústria,2010,JUNDIAÍ,SP,3525904
,Indústria,2010,JUNQUEIRÓPOLIS,SP,3526001
,Indústria,2010,JUQUIÁ,SP,3526100
0,Indústria,2010,JUQUITIBA,SP,3526209
,Indústria,2010,LAGOINHA,SP,3526308
,Indústria,2010,LARANJAL PAULISTA,SP,3526407
3727278000,Indústria,2010,LAVÍNIA,SP,3526506
0,Indústria,2010,LAVRINHAS,SP,3526605
,Indústria,2010,LEME,SP,3526704
,Indústria,2010,LENÇÓIS PAULISTA,SP,3526803
2770975000,Indústria,2010,LIMEIRA,SP,3526902
0,Indústria,2010,LINDÓIA,SP,3527009
,Indústria,2010,LINS,SP,3527108
420566000,Indústria,2010,LORENA,SP,3527207
1535406000,Indústria,2010,LOURDES,SP,3527256
2318830000,Indústria,2010,LOUVEIRA,SP,3527306
,Indústria,2010,LUCÉLIA,SP,3527405
1343423000,Indústria,2010,LUCIANÓPOLIS,SP,3527504
,Indústria,2010,LUÍS ANTÔNIO,SP,3527603
0,Indústria,2010,LUIZIÂNIA,SP,3527702
2520051000,Indústria,2010,LUPÉRCIO,SP,3527801
3595819000,Indústria,2010,LUTÉCIA,SP,3527900
,Indústria,2010,MACATUBA,SP,3528007
6197443000,Indústria,2010,MACAUBAL,SP,3528106
9233667000,Indústria,2010,MACEDÔNIA,SP,3528205
2992078000,Indústria,2010,MAGDA,SP,3528304
,Indústria,2010,MAIRINQUE,SP,3528403
0,Indústria,2010,MAIRIPORÃ,SP,3528502
12490000,Indústria,2010,MANDURI,SP,3528601
,Indústria,2010,MARABÁ PAULISTA,SP,3528700
,Indústria,2010,MARACAÍ,SP,3528809
0,Indústria,2010,MARAPOAMA,SP,3528858
2652785000,Indústria,2010,MARIÁPOLIS,SP,3528908
0,Indústria,2010,MARÍLIA,SP,3529005
0,Indústria,2010,MARINÓPOLIS,SP,3529104
,Indústria,2010,MARTINÓPOLIS,SP,3529203
,Indústria,2010,MATÃO,SP,3529302
3607277000,Indústria,2010,MAUÁ,SP,3529401
0,Indústria,2010,MENDONÇA,SP,3529500
,Indústria,2010,MERIDIANO,SP,3529609
2589087000,Indústria,2010,MESÓPOLIS,SP,3529658
,Indústria,2010,MIGUELÓPOLIS,SP,3529708
,Indústria,2010,MINEIROS DO TIETÊ,SP,3529807
1769789000,Indústria,2010,MIRA ESTRELA,SP,3530003
,Indústria,2010,MIRACATU,SP,3529906
,Indústria,2010,MIRANDÓPOLIS,SP,3530102
,Indústria,2010,MIRANTE DO PARANAPANEMA,SP,3530201
,Indústria,2010,MIRASSOL,SP,3530300
2152075000,Indústria,2010,MIRASSOLÂNDIA,SP,3530409
,Indústria,2010,MOCOCA,SP,3530508
3035153000,Indústria,2010,MOGI DAS CRUZES,SP,3530607
1210066000,Indústria,2010,MOGI GUAÇU,SP,3530706
884387000,Indústria,2010,MOGI MIRIM,SP,3530805
3779988000,Indústria,2010,MOMBUCA,SP,3530904
0,Indústria,2010,MONÇÕES,SP,3531001
0,Indústria,2010,MONGAGUÁ,SP,3531100
,Indústria,2010,MONTE ALEGRE DO SUL,SP,3531209
,Indústria,2010,MONTE ALTO,SP,3531308
0,Indústria,2010,MONTE APRAZÍVEL,SP,3531407
0,Indústria,2010,MONTE AZUL PAULISTA,SP,3531506
2449125000,Indústria,2010,MONTE CASTELO,SP,3531605
0,Indústria,2010,MONTE MOR,SP,3531803
4704924000,Indústria,2010,MONTEIRO LOBATO,SP,3531704
,Indústria,2010,MORRO AGUDO,SP,3531902
,Indústria,2010,MORUNGABA,SP,3532009
4917302000,Indústria,2010,MOTUCA,SP,3532058
1497558000,Indústria,2010,MURUTINGA DO SUL,SP,3532108
2034178000,Indústria,2010,NANTES,SP,3532157
,Indústria,2010,NARANDIBA,SP,3532207
2520833000,Indústria,2010,NATIVIDADE DA SERRA,SP,3532306
,Indústria,2010,NAZARÉ PAULISTA,SP,3532405
,Indústria,2010,NEVES PAULISTA,SP,3532504
,Indústria,2010,NHANDEARA,SP,3532603
,Indústria,2010,NIPOÃ,SP,3532702
6706563000,Indústria,2010,NOVA ALIANÇA,SP,3532801
,Indústria,2010,NOVA CAMPINA,SP,3532827
1136463000,Indústria,2010,NOVA CANAÃ PAULISTA,SP,3532843
1096796000,Indústria,2010,NOVA CASTILHO,SP,3532868
,Indústria,2010,NOVA EUROPA,SP,3532900
,Indústria,2010,NOVA GRANADA,SP,3533007
1147249000,Indústria,2010,NOVA GUATAPORANGA,SP,3533106
2534088000,Indústria,2010,NOVA INDEPENDÊNCIA,SP,3533205
0,Indústria,2010,NOVA LUZITÂNIA,SP,3533304
0,Indústria,2010,NOVA ODESSA,SP,3533403
1828478000,Indústria,2010,NOVAIS,SP,3533254
,Indústria,2010,NOVO HORIZONTE,SP,3533502
,Indústria,2010,NUPORANGA,SP,3533601
,Indústria,2010,OCAUÇU,SP,3533700
1804209000,Indústria,2010,ÓLEO,SP,3533809
322149000,Indústria,2010,OLÍMPIA,SP,3533908
,Indústria,2010,ONDA VERDE,SP,3534005
,Indústria,2010,ORIENTE,SP,3534104
,Indústria,2010,ORINDIÚVA,SP,3534203
,Indústria,2010,ORLÂNDIA,SP,3534302
2955428000,Indústria,2010,OSASCO,SP,3534401
4471786000,Indústria,2010,OSCAR BRESSANE,SP,3534500
,Indústria,2010,OSVALDO CRUZ,SP,3534609
356157000,Indústria,2010,OURINHOS,SP,3534708
4025124000,Indústria,2010,OURO VERDE,SP,3534807
,Indústria,2010,OUROESTE,SP,3534757
4922394000,Indústria,2010,PACAEMBU,SP,3534906
,Indústria,2010,PALESTINA,SP,3535002
,Indústria,2010,PALMARES PAULISTA,SP,3535101
,Indústria,2010,PALMEIRA D'OESTE,SP,3535200
0,Indústria,2010,PALMITAL,SP,3535309
0,Indústria,2010,PANORAMA,SP,3535408
,Indústria,2010,PARAGUAÇU PAULISTA,SP,3535507
0,Indústria,2010,PARAIBUNA,SP,3535606
,Indústria,2010,PARAÍSO,SP,3535705
,Indústria,2010,PARANAPANEMA,SP,3535804
2886042000,Indústria,2010,PARANAPUÃ,SP,3535903
31336000,Indústria,2010,PARAPUÃ,SP,3536000
,Indústria,2010,PARDINHO,SP,3536109
,Indústria,2010,PARIQUERA-AÇU,SP,3536208
980859000,Indústria,2010,PARISI,SP,3536257
,Indústria,2010,PATROCÍNIO PAULISTA,SP,3536307
,Indústria,2010,PAULICÉIA,SP,3536406
6347269000,Indústria,2010,PAULÍNIA,SP,3536505
0,Indústria,2010,PAULISTÂNIA,SP,3536570
8303673000,Indústria,2010,PAULO DE FARIA,SP,3536604
,Indústria,2010,PEDERNEIRAS,SP,3536703
2055365000,Indústria,2010,PEDRA BELA,SP,3536802
0,Indústria,2010,PEDRANÓPOLIS,SP,3536901
,Indústria,2010,PEDREGULHO,SP,3537008
0,Indústria,2010,PEDREIRA,SP,3537107
5014426000,Indústria,2010,PEDRINHAS PAULISTA,SP,3537156
6055051000,Indústria,2010,PEDRO DE TOLEDO,SP,3537206
147945000,Indústria,2010,PENÁPOLIS,SP,3537305
,Indústria,2010,PEREIRA BARRETO,SP,3537404
,Indústria,2010,PEREIRAS,SP,3537503
,Indústria,2010,PERUÍBE,SP,3537602
6583606000,Indústria,2010,PIACATU,SP,3537701
,Indústria,2010,PIEDADE,SP,3537800
,Indústria,2010,PILAR DO SUL,SP,3537909
1383713000,Indústria,2010,PINDAMONHANGABA,SP,3538006
,Indústria,2010,PINDORAMA,SP,3538105
,Indústria,2010,PINHALZINHO,SP,3538204
2558636000,Indústria,2010,PIQUEROBI,SP,3538303
0,Indústria,2010,PIQUETE,SP,3538501
,Indústria,2010,PIRACAIA,SP,3538600
3998332000,Indústria,2010,PIRACICABA,SP,3538709
,Indústria,2010,PIRAJU,SP,3538808
,Indústria,2010,PIRAJUÍ,SP,3538907
,Indústria,2010,PIRANGI,SP,3539004
0,Indústria,2010,PIRAPORA DO BOM JESUS,SP,3539103
,Indústria,2010,PIRAPOZINHO,SP,3539202
0,Indústria,2010,PIRASSUNUNGA,SP,3539301
9632505000,Indústria,2010,PIRATININGA,SP,3539400
208142000,Indústria,2010,PITANGUEIRAS,SP,3539509
,Indústria,2010,PLANALTO,SP,3539608
2643405000,Indústria,2010,PLATINA,SP,3539707
700875000,Indústria,2010,POÁ,SP,3539806
,Indústria,2010,POLONI,SP,3539905
286312000,Indústria,2010,POMPÉIA,SP,3540002
2732398000,Indústria,2010,PONGAÍ,SP,3540101
0,Indústria,2010,PONTAL,SP,3540200
2929903000,Indústria,2010,PONTALINDA,SP,3540259
0,Indústria,2010,PONTES GESTAL,SP,3540309
3510418000,Indústria,2010,POPULINA,SP,3540408
,Indústria,2010,PORANGABA,SP,3540507
,Indústria,2010,PORTO FELIZ,SP,3540606
,Indústria,2010,PORTO FERREIRA,SP,3540705
0,Indústria,2010,POTIM,SP,3540754
,Indústria,2010,POTIRENDABA,SP,3540804
0,Indústria,2010,PRACINHA,SP,3540853
,Indústria,2010,PRADÓPOLIS,SP,3540903
0,Indústria,2010,PRAIA GRANDE,SP,3541000
5013026000,Indústria,2010,PRATÂNIA,SP,3541059
,Indústria,2010,PRESIDENTE ALVES,SP,3541109
8538552000,Indústria,2010,PRESIDENTE BERNARDES,SP,3541208
,Indústria,2010,PRESIDENTE EPITÁCIO,SP,3541307
0,Indústria,2010,PRESIDENTE PRUDENTE,SP,3541406
,Indústria,2010,PRESIDENTE VENCESLAU,SP,3541505
688664000,Indústria,2010,PROMISSÃO,SP,3541604
3234394000,Indústria,2010,QUADRA,SP,3541653
,Indústria,2010,QUATÁ,SP,3541703
0,Indústria,2010,QUEIROZ,SP,3541802
9073251000,Indústria,2010,QUELUZ,SP,3541901
,Indústria,2010,QUINTANA,SP,3542008
,Indústria,2010,RAFARD,SP,3542107
,Indústria,2010,RANCHARIA,SP,3542206
2345464000,Indústria,2010,REDENÇÃO DA SERRA,SP,3542305
