ContagemPop,FaixaEtariaPop,SexoPop,NomeCidadePopulacao,UFPopulacao,CodigoIBGE
5,90 e +,H,Altair,SP,3500907
468,00 a 04,M,Altinópolis,SP,3501004
530,05 a 09,M,Altinópolis,SP,3501004
509,10 a 14,M,Altinópolis,SP,3501004
502,15 a 19,M,Altinópolis,SP,3501004
565,20 a 24,M,Altinópolis,SP,3501004
620,25 a 29,M,Altinópolis,SP,3501004
607,30 a 34,M,Altinópolis,SP,3501004
667,35 a 39,M,Altinópolis,SP,3501004
710,40 a 44,M,Altinópolis,SP,3501004
555,45 a 49,M,Altinópolis,SP,3501004
505,50 a 54,M,Altinópolis,SP,3501004
537,55 a 59,M,Altinópolis,SP,3501004
504,60 a 64,M,Altinópolis,SP,3501004
434,65 a 69,M,Altinópolis,SP,3501004
296,70 a 74,M,Altinópolis,SP,3501004
230,75 a 79,M,Altinópolis,SP,3501004
140,80 a 84,M,Altinópolis,SP,3501004
90,85 a 89,M,Altinópolis,SP,3501004
61,90 e +,M,Altinópolis,SP,3501004
518,00 a 04,H,Altinópolis,SP,3501004
538,05 a 09,H,Altinópolis,SP,3501004
530,10 a 14,H,Altinópolis,SP,3501004
530,15 a 19,H,Altinópolis,SP,3501004
603,20 a 24,H,Altinópolis,SP,3501004
623,25 a 29,H,Altinópolis,SP,3501004
592,30 a 34,H,Altinópolis,SP,3501004
629,35 a 39,H,Altinópolis,SP,3501004
637,40 a 44,H,Altinópolis,SP,3501004
518,45 a 49,H,Altinópolis,SP,3501004
491,50 a 54,H,Altinópolis,SP,3501004
502,55 a 59,H,Altinópolis,SP,3501004
423,60 a 64,H,Altinópolis,SP,3501004
410,65 a 69,H,Altinópolis,SP,3501004
306,70 a 74,H,Altinópolis,SP,3501004
207,75 a 79,H,Altinópolis,SP,3501004
142,80 a 84,H,Altinópolis,SP,3501004
64,85 a 89,H,Altinópolis,SP,3501004
25,90 e +,H,Altinópolis,SP,3501004
77,00 a 04,M,Alto Alegre,SP,3501103
97,05 a 09,M,Alto Alegre,SP,3501103
116,10 a 14,M,Alto Alegre,SP,3501103
