ano;cod_ibge;municipio;sexo;idade;populacao
2010;3515707;Ferraz de Vasconcelos;Mulheres;05 a 09;6884
2010;3515707;Ferraz de Vasconcelos;Mulheres;10 a 14;8400
2010;3515707;Ferraz de Vasconcelos;Mulheres;15 a 19;7924
2010;3515707;Ferraz de Vasconcelos;Mulheres;20 a 24;7965
2010;3515707;Ferraz de Vasconcelos;Mulheres;25 a 29;7895
2010;3515707;Ferraz de Vasconcelos;Mulheres;30 a 34;7447
2010;3515707;Ferraz de Vasconcelos;Mulheres;35 a 39;6862
2010;3515707;Ferraz de Vasconcelos;Mulheres;40 a 44;6305
2010;3515707;Ferraz de Vasconcelos;Mulheres;45 a 49;5458
2010;3515707;Ferraz de Vasconcelos;Mulheres;50 a 54;4559
2010;3515707;Ferraz de Vasconcelos;Mulheres;55 a 59;3501
2010;3515707;Ferraz de Vasconcelos;Mulheres;60 a 64;2434
2010;3515707;Ferraz de Vasconcelos;Mulheres;65 a 69;1616
2010;3515707;Ferraz de Vasconcelos;Mulheres;70 a 74;1158
2010;3515707;Ferraz de Vasconcelos;Mulheres;75 a 79;704
2010;3515707;Ferraz de Vasconcelos;Mulheres;80 a 84;448
2010;3515707;Ferraz de Vasconcelos;Mulheres;85 a 89;195
2010;3515707;Ferraz de Vasconcelos;Mulheres;90 e +;114
2010;3516309;Francisco Morato;Homens;00 a 04;6602
2010;3516309;Francisco Morato;Homens;05 a 09;7094
2010;3516309;Francisco Morato;Homens;10 a 14;8296
2010;3516309;Francisco Morato;Homens;15 a 19;7666
2010;3516309;Francisco Morato;Homens;20 a 24;7507
2010;3516309;Francisco Morato;Homens;25 a 29;7130
2010;3516309;Francisco Morato;Homens;30 a 34;6324
2010;3516309;Francisco Morato;Homens;35 a 39;5436
2010;3516309;Francisco Morato;Homens;40 a 44;4995
2010;3516309;Francisco Morato;Homens;45 a 49;4086
2010;3516309;Francisco Morato;Homens;50 a 54;3838
2010;3516309;Francisco Morato;Homens;55 a 59;3040
2010;3516309;Francisco Morato;Homens;60 a 64;2014
2010;3516309;Francisco Morato;Homens;65 a 69;1181
2010;3516309;Francisco Morato;Homens;70 a 74;709
2010;3516309;Francisco Morato;Homens;75 a 79;383
2010;3516309;Francisco Morato;Homens;80 a 84;210
2010;3516309;Francisco Morato;Homens;85 a 89;80
2010;3516309;Francisco Morato;Homens;90 e +;45
2010;3516309;Francisco Morato;Mulheres;00 a 04;6442
2010;3516309;Francisco Morato;Mulheres;05 a 09;6822
2010;3516309;Francisco Morato;Mulheres;10 a 14;8039
2010;3516309;Francisco Morato;Mulheres;15 a 19;7345
2010;3516309;Francisco Morato;Mulheres;20 a 24;7343
2010;3516309;Francisco Morato;Mulheres;25 a 29;7279
2010;3516309;Francisco Morato;Mulheres;30 a 34;6544
2010;3516309;Francisco Morato;Mulheres;35 a 39;5692
2010;3516309;Francisco Morato;Mulheres;40 a 44;5245
2010;3516309;Francisco Morato;Mulheres;45 a 49;4662
2010;3516309;Francisco Morato;Mulheres;50 a 54;4079
2010;3516309;Francisco Morato;Mulheres;55 a 59;3140
2010;3516309;Francisco Morato;Mulheres;60 a 64;1939
2010;3516309;Francisco Morato;Mulheres;65 a 69;1382
2010;3516309;Francisco Morato;Mulheres;70 a 74;835
2010;3516309;Francisco Morato;Mulheres;75 a 79;524
2010;3516309;Francisco Morato;Mulheres;80 a 84;302
2010;3516309;Francisco Morato;Mulheres;85 a 89;144
2010;3516309;Francisco Morato;Mulheres;90 e +;78
2010;3516408;Franco da Rocha;Homens;00 a 04;4878
2010;3516408;Franco da Rocha;Homens;05 a 09;5231
2010;3516408;Franco da Rocha;Homens;10 a 14;6059
2010;3516408;Franco da Rocha;Homens;15 a 19;5934
2010;3516408;Franco da Rocha;Homens;20 a 24;7352
2010;3516408;Franco da Rocha;Homens;25 a 29;7442
2010;3516408;Franco da Rocha;Homens;30 a 34;6542
2010;3516408;Franco da Rocha;Homens;35 a 39;5200
2010;3516408;Franco da Rocha;Homens;40 a 44;4474
2010;3516408;Franco da Rocha;Homens;45 a 49;3642
2010;3516408;Franco da Rocha;Homens;50 a 54;3299
2010;3516408;Franco da Rocha;Homens;55 a 59;2742
2010;3516408;Franco da Rocha;Homens;60 a 64;1973
2010;3516408;Franco da Rocha;Homens;65 a 69;1142
2010;3516408;Franco da Rocha;Homens;70 a 74;742
2010;3516408;Franco da Rocha;Homens;75 a 79;428
2010;3516408;Franco da Rocha;Homens;80 a 84;262
2010;3516408;Franco da Rocha;Homens;85 a 89;85
2010;3516408;Franco da Rocha;Homens;90 e +;35
2010;3516408;Franco da Rocha;Mulheres;00 a 04;4622
2010;3516408;Franco da Rocha;Mulheres;05 a 09;4982
2010;3516408;Franco da Rocha;Mulheres;10 a 14;5813
2010;3516408;Franco da Rocha;Mulheres;15 a 19;5585
2010;3516408;Franco da Rocha;Mulheres;20 a 24;5917
2010;3516408;Franco da Rocha;Mulheres;25 a 29;6323
2010;3516408;Franco da Rocha;Mulheres;30 a 34;5815
2010;3516408;Franco da Rocha;Mulheres;35 a 39;5071
2010;3516408;Franco da Rocha;Mulheres;40 a 44;4378
2010;3516408;Franco da Rocha;Mulheres;45 a 49;3836
2010;3516408;Franco da Rocha;Mulheres;50 a 54;3515
2010;3516408;Franco da Rocha;Mulheres;55 a 59;2873
2010;3516408;Franco da Rocha;Mulheres;60 a 64;2054
2010;3516408;Franco da Rocha;Mulheres;65 a 69;1249
2010;3516408;Franco da Rocha;Mulheres;70 a 74;863
2010;3516408;Franco da Rocha;Mulheres;75 a 79;600
